01FHZK74A82GK0F23S80J8QNTD,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,0,250,0,0,IN_PROVINCE,13000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTE,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,250.01,500,0,0,IN_PROVINCE,16000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTF,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,500.01,1000,0,0,IN_PROVINCE,21000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTG,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,1000.01,1500,0,0,IN_PROVINCE,25000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTH,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,1500.01,2000,0,0,IN_PROVINCE,27000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8QNTI,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,2000.01,100000,500,2000,IN_PROVINCE,27000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJJ,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,0,250,0,0,OUT_PROVINCE,30000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJK,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,250.01,500,0,0,OUT_PROVINCE,38000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJL,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,500.01,1000,0,0,OUT_PROVINCE,56000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJM,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,1000.01,1500,0,0,OUT_PROVINCE,72000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJN,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,1500.01,2000,0,0,OUT_PROVINCE,87000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJO,"Chuyển phát nhanh hàng hóa, tài liệu
",01F8A2DCXH5CD5Z87BKTZST1Y3,2000.01,100000,500,12000,OUT_PROVINCE,87000,2024-12-27 17:14:59,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJP,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,0,2000,0,0,IN_PROVINCE,38000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJR,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,2000.01,100000,500,4000,IN_PROVINCE,38000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJQ,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,0,2000,0,0,OUT_PROVINCE,127000,2024-12-27 17:22:03,2025-01-04 20:47:01
01FHZK74A82GK0F23S80J8NTJS,"Chuyển phát Hoả tốc, hẹn giờ",01F8A2DCXH5CD5Z87BKTZST1Y4,2000.01,100000,500,11000,OUT_PROVINCE,127000,2024-12-27 17:22:03,2025-01-04 20:47:01
E9CD14BC0329449D819B5B4EC0,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,0,250,0,0,IN_PROVINCE,20000,2024-12-27 17:14:59,2024-12-27 17:22:29
76E75B4980AC4EBDBEF88BA186,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,250.01,500,0,0,IN_PROVINCE,23000,2024-12-27 17:14:59,2024-12-27 17:22:29
F6103C25DF9045AFAA159E17A7,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,500.01,1000,0,0,IN_PROVINCE,29000,2024-12-27 17:14:59,2024-12-27 17:22:29
38D3FBAAD2EF44C39E8ACF424B,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,1000.01,1500,0,0,IN_PROVINCE,31000,2024-12-27 17:14:59,2024-12-27 17:22:29
F9B26F5635824941BA03CF53C9,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,1500.01,2000,0,0,IN_PROVINCE,36000,2024-12-27 17:14:59,2024-12-27 17:22:29
19201A2C2F4C4E81A1B74984D6,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,2000.01,30000,500,2100,IN_PROVINCE,36000,2024-12-27 17:14:59,2024-12-27 17:14:59
7AC927C2188E4B31B741187437,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,30000,100000,500,2000,IN_PROVINCE,153600,2024-12-27 17:14:59,2024-12-27 17:14:59
F70AED27BBAE4216A736934CBC,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,0,250,0,0,OUT_PROVINCE,25000,2024-12-27 17:14:59,2024-12-27 17:22:29
D870AF55E2104154BB1BC0C3DC,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,250.01,500,0,0,OUT_PROVINCE,30000,2024-12-27 17:14:59,2024-12-27 17:22:29
71CFCF3628C547259E76CCD61C,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,500.01,1000,0,0,OUT_PROVINCE,32000,2024-12-27 17:14:59,2024-12-27 17:22:29
4D8DAFD367A646D98C617BA7EF,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,1000.01,1500,0,0,OUT_PROVINCE,36000,2024-12-27 17:14:59,2024-12-27 17:22:29
8F9BB4296579403BB375FC6518,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,1500.01,2000,0,0,OUT_PROVINCE,40000,2024-12-27 17:14:59,2024-12-27 17:22:29
9C56A84ABE694909B552861550,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,2000.01,30000,500,4000,OUT_PROVINCE,40000,2024-12-27 17:14:59,2024-12-27 17:14:59
613DFFB1AC2A411B8F2C28FEF7,Chuyển phát Tiết kiệm,01F8A2DCXH5CD5Z87BKTZST1Y6,30000,100000,500,3500,OUT_PROVINCE,264000,2024-12-27 17:14:59,2024-12-27 17:14:59
0A724BF79FF74D4CA4BA6013A7,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,0,250,0,0,IN_PROVINCE,28000,2024-12-27 17:14:59,2024-12-27 17:22:29
9396DFB1F1264CAD83E8DD8498,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,250.01,500,0,0,IN_PROVINCE,30000,2024-12-27 17:14:59,2024-12-27 17:22:29
C07FD4D95D96460BA19E7E5DAD,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,500.01,30000,500,3000,IN_PROVINCE,30000,2024-12-27 17:14:59,2024-12-27 17:14:59
3D7E0795E5F64CD79FFFB3C9ED,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,30000,100000,500,2000,IN_PROVINCE,207000,2024-12-27 17:14:59,2024-12-27 17:14:59
206CC0B9561445558AABD04BA0,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,0,250,0,0,OUT_PROVINCE,31000,2024-12-27 17:14:59,2024-12-27 17:22:29
CFB5C0EF897D48B797076D29DC,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,250.01,500,0,0,OUT_PROVINCE,32000,2024-12-27 17:14:59,2024-12-27 17:22:29
21C545B2878344E5ACE0ECA35D,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,500.01,30000,500,5000,OUT_PROVINCE,32000,2024-12-27 17:14:59,2024-12-27 17:14:59
A5EAC51DDE554EA9A5A1FE3382,Chuyển phát Thương mại điện tử,01F8A2DCXH5CD5Z87BKTZST1Y7,30000,100000,500,4500,OUT_PROVINCE,327000,2024-12-27 17:14:59,2024-12-27 17:14:59
